round,client_id,client_seed,images,local_epochs,mu,loss,classification_loss,regularization_loss,proximal_loss_epoch_mean,initial_proximal_loss,final_proximal_loss,roc_auc,pr_auc,update_l2,training_seconds
15,0,15022,3796,1,0.01,0.31748878955841064,0.28547999262809753,0.023370761424303055,0.008637961931526661,0.0,0.008301506750285625,0.8193427324295044,0.22029119729995728,8.378335179996744,40.12726187705994
15,1,15023,3797,1,0.01,0.4766533672809601,0.4465118944644928,0.02345029078423977,0.006691195070743561,0.0,0.007180365268141031,0.816459059715271,0.4506613612174988,4.968993146148014,39.925503969192505
15,2,15024,3796,1,0.01,0.6212417483329773,0.5906074643135071,0.023470941931009293,0.007163458503782749,0.0,0.007546129636466503,0.8133883476257324,0.6682940721511841,5.327384896950101,40.08150792121887
15,3,15025,3796,1,0.01,0.6517666578292847,0.6189653277397156,0.023525295779109,0.009276293218135834,0.0,0.008059405721724033,0.804832398891449,0.7306921482086182,5.573740017255729,40.19584584236145
15,4,15026,3796,1,0.01,0.5093768835067749,0.48010146617889404,0.023424340412020683,0.005851196125149727,0.0,0.00807960145175457,0.8126891851425171,0.47161775827407837,4.620396660338663,40.09625291824341
16,0,16022,3796,1,0.01,0.3200051486492157,0.2883942127227783,0.0228985957801342,0.008712384849786758,0.0,0.008782525546848774,0.8142746090888977,0.2410806566476822,7.156593001070769,40.03014087677002
16,1,16023,3797,1,0.01,0.4689452648162842,0.43949705362319946,0.0229803379625082,0.006467856001108885,0.0,0.007516969460994005,0.8232945799827576,0.4714300036430359,5.354615222233451,39.77959489822388
16,2,16024,3796,1,0.01,0.6181209683418274,0.5877609252929688,0.023025456815958023,0.007334352470934391,0.0,0.008696048520505428,0.814387321472168,0.6657488942146301,5.9188580376946085,40.24428105354309
16,3,16025,3796,1,0.01,0.6490516662597656,0.6167454123497009,0.023056842386722565,0.009249505586922169,0.0,0.00943213514983654,0.808551013469696,0.739650547504425,5.849148710514481,40.20680594444275
16,4,16026,3796,1,0.01,0.5174582600593567,0.48730868101119995,0.02300100401043892,0.007148451637476683,0.0,0.008895378559827805,0.8052499294281006,0.4621281027793884,4.863211389963973,40.123497009277344
17,0,17022,3796,1,0.01,0.31739890575408936,0.28560248017311096,0.022454656660556793,0.009341808035969734,0.0,0.008603562600910664,0.8201462030410767,0.2124250829219818,8.105505498753727,40.13691806793213
17,1,17023,3797,1,0.01,0.47221067547798157,0.4429572522640228,0.022551562637090683,0.0067018866539001465,0.0,0.005755130667239428,0.819513201713562,0.4741249084472656,4.458197581026594,40.37468600273132
17,2,17024,3796,1,0.01,0.6162733435630798,0.5865622162818909,0.022583039477467537,0.0071279085241258144,0.0,0.007828643545508385,0.815549910068512,0.6600967645645142,5.732851277810657,40.22498893737793
17,3,17025,3796,1,0.01,0.6424440741539001,0.6112045645713806,0.02260245941579342,0.008637185208499432,0.0,0.00829952023923397,0.8115689754486084,0.7416343092918396,6.067581074393488,40.15121603012085
17,4,17026,3796,1,0.01,0.5057321190834045,0.47765788435935974,0.022492919117212296,0.005581559147685766,0.0,0.0069846585392951965,0.8152533769607544,0.45913204550743103,5.552963731751962,40.08497667312622
18,0,18022,3796,1,0.01,0.31813889741897583,0.2873040437698364,0.022016922011971474,0.008817932568490505,0.0,0.007682743947952986,0.815255880355835,0.20663027465343475,8.078230276773073,40.12906098365784
18,1,18023,3797,1,0.01,0.4671848714351654,0.43784835934638977,0.022100374102592468,0.007236243225634098,0.0,0.007796795107424259,0.8231463432312012,0.48720765113830566,4.980012197803855,40.102094888687134
18,2,18024,3796,1,0.01,0.616633415222168,0.587307333946228,0.022153932601213455,0.007172274403274059,0.0,0.007132579106837511,0.8156949281692505,0.6760550737380981,4.951765022316438,40.299084186553955
18,3,18025,3796,1,0.01,0.6396798491477966,0.6086570024490356,0.022192655131220818,0.00883012916892767,0.0,0.008950646035373211,0.8116380572319031,0.741241455078125,5.115150342865888,40.42050576210022
18,4,18026,3796,1,0.01,0.5044031739234924,0.4758087992668152,0.02210979349911213,0.006484570913016796,0.0,0.0075311800464987755,0.8152307271957397,0.4989859163761139,4.411967716098703,40.39220690727234
19,0,19022,3796,1,0.01,0.3192620277404785,0.288035124540329,0.021650560200214386,0.0095763448625803,0.0,0.008167212828993797,0.8139489889144897,0.2149161994457245,10.033385816840035,40.37630319595337
19,1,19023,3797,1,0.01,0.4698200225830078,0.4415038228034973,0.021719487383961678,0.006596753373742104,0.0,0.008408701978623867,0.8211698532104492,0.4613443613052368,4.719628891549429,40.0170476436615
19,2,19024,3796,1,0.01,0.614646852016449,0.5854987502098083,0.02174951508641243,0.007398407906293869,0.0,0.007507713977247477,0.8168030381202698,0.6708530187606812,5.949528238742135,40.21831703186035
19,3,19025,3796,1,0.01,0.6442016959190369,0.6127601265907288,0.021789828315377235,0.00965216662734747,0.0,0.010365216061472893,0.8075463175773621,0.7289741635322571,5.7541407589962565,40.088371992111206
19,4,19026,3796,1,0.01,0.5086570978164673,0.4809681475162506,0.021688031032681465,0.006000785157084465,0.0,0.006682433187961578,0.8121540546417236,0.4675392508506775,4.278520130770385,40.32878303527832
20,0,20022,3796,1,0.01,0.3169901669025421,0.28678712248802185,0.021224429830908775,0.008978594094514847,0.0,0.00942116416990757,0.8148570656776428,0.22360849380493164,10.437997818466407,40.326783895492554
20,1,20023,3797,1,0.01,0.4628782868385315,0.43588724732398987,0.021312493830919266,0.0056786308996379375,0.0,0.006274028681218624,0.8254466652870178,0.4770554304122925,4.2551580231714095,40.55448794364929
20,2,20024,3796,1,0.01,0.6023643612861633,0.5743052363395691,0.021365361288189888,0.006693797651678324,0.0,0.0071711549535393715,0.8232842683792114,0.6773213744163513,5.071956297830927,40.43959593772888
20,3,20025,3796,1,0.01,0.6399510502815247,0.6096695065498352,0.02141432836651802,0.008866945281624794,0.0,0.008893579244613647,0.8102208375930786,0.737938404083252,5.234604475388179,41.25079298019409
20,4,20026,3796,1,0.01,0.5095310807228088,0.4820634424686432,0.021351948380470276,0.006115706171840429,0.0,0.007583002094179392,0.8111053109169006,0.46136289834976196,3.9253722718705455,41.23432970046997
